ケースID,大分類,テスト観点,テスト技法,前提条件,テスト手順,期待結果,実行結果,判定
TC-A-001,数式エンジン,四則演算と優先順位,正常系,'-,#NAME?,7,7,PASS
TC-A-002,数式エンジン,括弧による優先順位の上書き,正常系,'-,#NAME?,9,9,PASS
TC-A-003,数式エンジン,べき乗の結合則(Excelは左結合),境界値,'-,#NAME?,64,64,PASS
TC-A-004,数式エンジン,単項マイナスとべき乗の優先順位,境界値,'-,#NAME?,4,4,PASS
TC-A-005,数式エンジン,割り算(小数結果),正常系,'-,#NAME?,2.5,2.5,PASS
TC-A-006,数式エンジン,パーセント演算子,正常系,'-,#NAME?,0.5,0.5,PASS
TC-A-007,数式エンジン,文字列連結演算子,正常系,A1=abc,#NAME?,abc123,abc123,PASS
TC-A-008,数式エンジン,数値に見える文字列の暗黙変換,同値分割,'-,#NAME?,2,2,PASS
TC-A-009,数式エンジン,数値化できない文字列の演算,異常系,'-,#NAME?,#VALUE!,#VALUE!,PASS
TC-A-010,数式エンジン,論理値の数値化(TRUE=1),同値分割,'-,#NAME?,2,2,PASS
TC-A-011,数式エンジン,空セル参照は0として扱う,境界値,A1は空,#NAME?,5,5,PASS
TC-A-012,数式エンジン,空セルの文字列連結は空文字,境界値,A1は空,#NAME?,x,x,PASS
TC-A-013,数式エンジン,比較演算子(等号),正常系,'-,#NAME?,TRUE,TRUE,PASS
TC-A-014,数式エンジン,比較演算子(不等号),正常系,'-,#NAME?,FALSE,FALSE,PASS
TC-A-015,数式エンジン,文字列比較(辞書順),正常系,'-,#NAME?,TRUE,TRUE,PASS
TC-A-016,数式エンジン,文字列比較は大文字小文字を区別しない,エラー推測,'-,#NAME?,TRUE,TRUE,PASS
TC-A-017,数式エンジン,二重引用符のエスケープ,境界値,'-,#NAME?,"a""b","a""b",PASS
TC-A-018,数式エンジン,指数表記リテラル,境界値,'-,#NAME?,1500,1500,PASS
TC-A-019,数式エンジン,関数の入れ子(3段),正常系,A1=-4,#NAME?,2,2,PASS
TC-A-020,数式エンジン,0.1+0.2の浮動小数点誤差が表示に出ないこと,エラー推測,'-,#NAME?,0.3,0.3,PASS
TC-B-001,関数(統計),SUM 範囲指定,正常系,"A1:A3=1,2,3",0,6,6,PASS
TC-B-002,関数(統計),SUM 範囲内の文字列は無視される,同値分割,"A1=1,A2=abc,A3=3",0,4,4,PASS
TC-B-003,関数(統計),SUM 直接引数の文字列は数値化される,同値分割,'-,3,3,3,PASS
TC-B-004,関数(統計),SUM 空範囲は0,境界値,A1:A3は空,0,0,0,PASS
TC-B-005,関数(統計),AVERAGE 文字列を除いた平均,同値分割,"A1=1,A2=abc,A3=3",#DIV/0!,2,2,PASS
TC-B-006,関数(統計),AVERAGE 対象0件は#DIV/0!,異常系,A1:A3は空,#DIV/0!,#DIV/0!,#DIV/0!,PASS
